pais,caso,tipo_convocante,nivel_consolidacion,nivel_consolidacion_override,rol_IA,fuente_convocante,nota
CO,Tenemos que hablar de Colombia,universidad|empresa|sociedad civil,2,,contenido,"Seis universidades colombianas, Grupo SURA y Fundación Ideas para la Paz","| VALIDACIÓN 2026: IA sobre el contenido NO verificada en búsqueda web; confirmar rol_IA con cita verbatim antes de incluir. | VERIF. PROFUNDA 2026: PENDIENTE (agente no completó por límite de sesión). LEAD: posible mismo motor NLP que 'Tenemos que hablar de Chile' (Instituto de Argumentación, U. de Chile), pero SIN confirmar en fuente colombiana. Verificar informe técnico 'Colombia a escala' antes de dar rol_IA=contenido."
CO,Chatico,gobierno local,2,,contenido,Secretaría General de la Alcaldía Mayor de Bogotá,
CO,Descongestión de solicitudes diarias del programa Ingreso Solidario,gobierno nacional,2,,apoyo,Departamento Administrativo para la Prosperidad Social (DPS),"Exclusión FIRME (recodificación 2026): atención/apoyo, no contenido participativo"
CR,dIAra,otra institución pública,2,,apoyo,Contraloría General de la República de Costa Rica,Revisar rol_IA: monitoreo de obras (traducción política) | VERIF. PROFUNDA 2026 (conf. alta): rol_IA=apoyo -> EXCLUIR. Verbatim: «Crear un modelo de inteligencia artificial que permita realizar la detección de objetos en las imagenes captadas en la etapa de IOT relacionadas al proyecto de contrucción de la Escuela de Pocosi.» [https://raw.githubusercontent.com/cgrcostarica/dIAra/main/README.md]
CR,U-Report Costa Rica – chatbot juvenil,organización internacional,2,,sin_IA,UNICEF,VERIF. PROFUNDA 2026 (conf. alta): rol_IA=sin_IA -> EXCLUIR. Verbatim: «RapidPro allows organizations to visually build scalable interactive messaging applications.» [https://github.com/rapidpro/rapidpro]
DO,CiudadanIA,empresa|universidad|gobierno nacional,2,,apoyo,"GENIA Latinoamérica, UNICARIBE, MINPRE y OGTIC","Escenario B: caso en revisión (puede salir). GENIA: empresa/soc. civil (ambiguo) | VERIF. PROFUNDA 2026 (conf. media): rol_IA=apoyo -> EXCLUIR. Verbatim: «Este proyecto establece puntos de interacción física en zonas de alto tráfico y emplea modelos de machine learning y NLP, incluidos LLMs, para recolectar datos representativos de los ciudadanos y así entrenar algoritmos » [https://www.diariolibre.com/planeta/tecnologia/2025/10/05/rd-avanza-en-el-uso-de-la-ia-y-se-posiciona-entre-paises-adoptantes/3267821]"
EC,PAGA IA,gobierno nacional|sociedad civil,2,,contenido,Gobierno Abierto Ecuador y Fundación de Ayuda por Internet (Fundapi),
GT,Guatemala Joven Conversa,organización internacional|sociedad civil,2,,contenido,Coordinador Residente de la ONU en Guatemala y Fundación Esquipulas,
HN,RedPública + iVerify,organización internacional|universidad,2,,apoyo,"PNUD, CEUTEC y la Unión Europea",VERIF. PROFUNDA 2026 (conf. alta): rol_IA=apoyo -> EXCLUIR. Verbatim: «iVerify [...] combats the spread of false narratives during election periods by combining new technology like AI and machine learning with tried-and-true in-person fact-checking.» [https://www.undp.org/latin-america/digitalhub4/projects/iverify-undps-tool-fact-checking-and-information-integrity]
MX,Sufragio seguro,universidad,2,,apoyo,Tecnológico Nacional de México,"Exclusión FIRME (recodificación 2026): integridad/proceso electoral, no contenido"
MX,Presupuesto CRECES,gobierno local,2,,sin_IA,Ayuntamiento de Hermosillo,VERIF. PROFUNDA 2026 (conf. alta): rol_IA=sin_IA -> EXCLUIR. Verbatim: «Las votaciones se realizarán de manera digital en la página presupuestocreces.hermosillo.gob.mx o vía WhatsApp en el chatbot 'Hola' del Ayuntamiento. Quienes prefieran hacerlo de manera presencial podrán acudir a las urn» [https://presupuestocreces.hermosillo.gob.mx/]
PE,Consulta Ciudadana sobre el Proyecto Nacional de Educación,otra institución pública,2,,contenido,Consejo Nacional de Educación del Perú,CNE: organismo autónomo (otra pública) vs gobierno nacional
PE,Sistema de cómputo con IA para las Elecciones Generales 2026,gobierno nacional,1,,apoyo,Oficina Nacional de Procesos Electorales (ONPE),"Exclusión FIRME (recodificación 2026): conteo electoral (OCR), no participación; estado 'Próximamente' = anuncio"
