pais,medio,tipo,url,relevancia
CU,Juventud Rebelde,general,https://www.juventudrebelde.cu,Diario de la UJC; cubre la agenda digital y tecnológica del Estado.
DO,Listín Diario,general,https://listindiario.com,El periódico más antiguo y de mayor tradición; referente de credibilidad.
DO,Diario Libre,general,https://www.diariolibre.com,"Mayor seguimiento digital; cobertura de política, economía y tecnología."
DO,Acento,general,https://acento.com.do,"Nativo digital; foco en transparencia, gobierno abierto e IA gubernamental (OGTIC, ENIA)."
EC,El Universo,general,https://www.eluniverso.com,Mayor circulación y páginas vistas en Ecuador; referente nacional.
EC,El Comercio,general,https://www.elcomercio.com,Fundado en 1906; segunda audiencia; referente de política y gobierno.
EC,Primicias,general,https://www.primicias.ec,"Primer nativo digital; especializado en política, economía e investigación."
GT,Prensa Libre,general,https://www.prensalibre.com,Líder digital centroamericano; cobertura política y nacional.
GT,Soy502,general,https://www.soy502.com,Mayor alcance en redes sociales; referente de noticias digitales.
GT,La Hora,gobierno-política,https://lahora.gt,Diario de análisis político; cubre gobernanza y sector público.
HN,La Prensa,general,https://www.laprensa.hn,Mayor trayectoria y circulación nacional (San Pedro Sula).
HN,El Heraldo,general,https://www.elheraldo.hn,Diario capitalino de investigación y análisis nacional.
HN,Tiempo,general,https://tiempo.hn,Fuerte presencia digital; cobertura de política y sociedad.
JM,Jamaica Gleaner,general,https://jamaica-gleaner.com,"El periódico más antiguo (1834) y de mayor alcance; cubre política, gobierno y AI policy."
JM,Jamaica Observer,general,https://www.jamaicaobserver.com,"Segundo de mayor circulación; política, negocios y tecnología."
JM,ICT Pulse,tecnología,https://ict-pulse.com,Revista/blog de tecnología e ICT del Caribe; sigue gobierno digital y e-participation.
MX,El Universal,general,https://www.eluniversal.com.mx,Periódico de mayor alcance digital; cobertura amplia de política y gobierno.
MX,El Financiero,económico,https://www.elfinanciero.com.mx,"Diario de economía y política económica; cubre gobierno digital, ATDT e IA."
MX,Proceso,general,https://www.proceso.com.mx,Semanario de investigación política de alta credibilidad.
PA,La Prensa,general,https://www.prensa.com,Referente del periodismo independiente e investigativo en Panamá.
PA,Crítica,general,https://www.critica.com.pa,Uno de los portales más visitados; cobertura de política y tecnología.
PA,TVN Noticias,general,https://www.tvn-2.com,División de noticias de alto alcance en TV y digital.
PE,El Comercio,general,https://elcomercio.pe,Grupo más poderoso del mercado peruano; líder en reputación digital.
PE,RPP Noticias,general,https://rpp.pe,Medio de mayor confianza en Perú (Reuters Institute); líder en radio y digital.
PE,La República,general,https://larepublica.pe,Tercer grupo en visitas web; referente de periodismo político.
PY,ABC Color,general,https://www.abc.com.py,Mayor multimedia paraguayo; mayor alcance y prestigio histórico.
PY,Última Hora,general,https://www.ultimahora.com,Segundo diario por tráfico; cobertura política 24/7.
PY,5 Días,económico,https://www.5dias.com.py,Único medio especializado en negocios y finanzas de Paraguay.
SV,La Prensa Gráfica,general,https://www.laprensagrafica.com,Fundado en 1915; de mayor circulación y lectura en El Salvador.
SV,El Faro,general,https://www.elfaro.net,Medio digital independiente de mayor credibilidad y reconocimiento internacional.
SV,El Diario de Hoy,general,https://www.elsalvador.com,"Amplia cobertura nacional de política, economía y tecnología."
TT,Trinidad Express,general,https://trinidadexpress.com,Periódico nacional de mayor circulación y alcance en redes; cobertura política e investigativa.
TT,Trinidad Guardian,general,https://www.guardian.co.tt,El diario más antiguo (1917); opera CNC3; voz institucional de referencia.
TT,CNC3,general,https://www.cnc3.co.tt,Principal cadena televisiva/digital de noticias; líder en cobertura política.
UY,El País,general,https://www.elpais.com.uy,Principal diario digital de Uruguay; cobertura nacional de política y gobierno.
UY,El Observador,general,https://www.elobservador.com.uy,Segundo en audiencia; análisis político/económico y tecnología pública.
UY,la diaria,gobierno-política,https://ladiaria.com.uy,Medio independiente cooperativo; relevante en políticas públicas y sociedad civil.
VE,El Nacional,general,https://www.elnacional.com,Histórico diario; referente de cobertura política y derechos humanos.
VE,El Universal,general,https://www.eluniversal.com,Fundado en 1909; alta reputación web; cobertura nacional amplia.
VE,Efecto Cocuyo,general,https://efectococuyo.com,Medio independiente de alta credibilidad; política y derechos ciudadanos.
