pais,nombre,url,canal,senal,fuente_tipo,estado_baseline,nota
CO,ECHO – HáblameD Medellín,https://colombia.unfpa.org/es/news/primeros-resultados-de-echo-en-colombia,A.9,"Reconfirmado: la IA del UNFPA clasifica por ODS las conversaciones ciudadanas captadas en campo (5.000+ personas, 16 comunas).",institucional,reverif_baseline,
CO,Chatico,https://bogota.gov.co/mi-ciudad/participacion-y-cultura-ciudadana/plan-desarrollo-bogota-camina-segura-tuvo-147-mil-aportes-ciudadanos,A.5,Reconfirmado 2024-2028: NLP y tecnologías semánticas procesaron 147.422 participaciones (10% propuestas libres) para el Plan Distrital de Desarrollo. Citado por OCDE/OPSI.,institucional,reverif_baseline,
CR,dIAra,https://www.opengovpartnership.org/the-open-gov-challenge/costa-rica-artificial-intelligence-alerts-citizen-control-public-infrastructure/,A.2,Reconfirmado 2025 (OGP Open Gov Challenge): visión computacional procesa alertas de inspectores ciudadanos sobre obras públicas; meta de 10 proyectos.,institucional,reverif_baseline,
CR,U-Report Costa Rica – chatbot juvenil,https://www.unicef.org/costarica/comunicados-prensa/plataforma-mundial-u-report-llega-costa-rica,A.9,Reconfirmado 2024-2025: consulta juvenil de UNICEF con 8.404 participantes; resultados analizados para incidir en política pública.,institucional,reverif_baseline,
DO,CiudadanIA,https://presidencia.gob.do/seccion/inteligencia-artificial,A.9,"Reverificación: actores activos (OGTIC, GENIA, MINPRE) en agenda de IA, sin evidencia nueva específica de la plataforma 2025-2026. Revisar en Fase 2.",institucional,reverif_baseline,
EC,PAGA IA,https://ia.gobiernoabierto.ec/acercade,A.2,Reconfirmado: integrada al Tercer Plan de Acción de Estado Abierto 2025-2027; analiza las propuestas ciudadanas y sugiere actividades.,institucional,reverif_baseline,DUDA elegibilidad (Fase 2): confirmar si la IA analiza aportes ciudadanos textuales o solo documentos institucionales (sugiere actividades a técnicos).
GT,Guatemala Joven Conversa,https://dppa.un.org/en/using-power-of-ai-to-boost-youth-political-participation-guatemala,A.9,Reconfirmado: diálogos digitales con IA (DPPA ONU + Fundación Esquipulas); 300+ jóvenes; la IA permite intercambios anónimos y votación de aportes para identificar consensos.,institucional,reverif_baseline,
HN,RedPública + iVerify,https://www.undp.org/es/honduras/historias/participacion-ciudadana-con-innovacion-digital-traves-de-redpublica-honduras,A.9,"Reverificación: plataforma de propuestas ciudadanas con módulo de análisis de tendencias; evidencia de IA central débil, revisar en Fase 2.",institucional,reverif_baseline,
BR,Cátedra Brasil / Co:Lab USP - IA generativa en presupuesto participativo (SP),https://colab.each.usp.br/blog/2025/03/28/a-ia-generativa-e-o-futuro-da-participacao-cidada-pesquisas-em-andamento/,A.4,"Investigación (Co:Lab USP, José Carlos Vaz) sobre IA generativa que ayuda a la ciudadanía a redactar y estructurar propuestas en el presupuesto participativo de São Paulo; en curso (pesquisas em andamento), no confirmado como despliegue oficial.",academico,dudoso,piloto búsqueda ampliada; investigación/prototipo
CU,Consulta Popular Código de las Familias (GEMA-CEN/XISCOP),https://oncubanews.com/cuba/softwares-cubanos-seran-utilizados-en-el-proceso-de-consulta-popular-sobre-el-codigo-de-las-familias/;https://www.granma.cu/cuba/2022-01-24/herramientas-digitales-seran-claves-durante-la-consulta-popular-del-codigo-de-las-familias-24-01-2022-13-01-18,A.4,"Consulta popular legislativa nacional (2022, ~6,5M participantes, 269k+ propuestas); GEMA-CEN (Datys) hace 'análisis inteligente de expedientes' que agrupa propuestas similares y determina 'propuestas típicas' por párrafo/categoría; XISCOP (UCI) emite estadísticas oficiales.",prensa,dudoso,2022; verificar si 'análisis inteligente' es NLP/ML o lógica de reglas (Datys/UCI). CU pasa de 0 a 1 señal.
PE,Consulta Ciudadana sobre el Proyecto Nacional de Educación,https://andina.pe/agencia/noticia-usan-inteligencia-artificial-para-formular-proyecto-educativo-nacional-al-2036-777369.aspx;https://elperuano.pe/noticia/87397-usan-inteligencia-artificial-para-formular-el-proyecto-educativo-nacional-al-2036,A.10,VERIFICADO (fuente primaria): el CNE usó IBM Watson Discovery + Studio (ML/NLP) sobre 87.991 documentos de aportes ciudadanos de 847 eventos y 49 espacios de diálogo para formular el PEN 2036; redujo el procesamiento de 8-9 meses a <1 semana.,prensa,reverif_baseline,verificación fuente primaria (Andina + El Peruano); resuelve la duda del caso baseline PE
CO,ISIDataInsights / Reto de Ciudad 'Datos con Historia' (SDP Bogotá),https://www.sdp.gov.co/noticias/bogota-cuenta-nueva-solucion-optimizar-analisis-de-informacion-cualitativa-basada-ciencia-tecnologia,A.5,Herramienta de IA ganadora del concurso abierto SDP Bogotá + Maloka (oct-nov 2024) que procesa documentos e identifica patrones clave en los aportes ciudadanos y documentos de planificación distrital; en implementación para integrarse a la Secretaría Distrital de Planeación (Plan de Desarrollo 2024-2028).,institucional,nuevo,verificar integración operativa y aplicación a un proceso participativo concreto
CL,El Chile que Queremos (ECQQ) - MinCiencia,https://github.com/MinCiencia/ECQQ,A.5,"Diálogos ciudadanos 2019-2020 (~132.000 participantes, 345 comunas); MinCiencia aplicó RNN, Random Forest, modelado de tópicos (LDA), clasificación de emociones y de necesidades sobre el texto libre de los aportes (código público en GitHub).",registro,nuevo,evidencia fuerte (código público); verificar que sea distinto del baseline 'Estudio dIAlogos'
CO,IA para participación en el POT de Bogotá (Control Visible/Auditoría),https://controlvisible.auditoria.gov.co/index.php/rcf/article/view/63,A.4,"Artículo (Revista de la Auditoría General, jun-2025) que aplica modelos de IA al contenido de aportes ciudadanos en la planificación urbana (POT) de Bogotá; metodología mixta con 395 ciudadanos.",academico,dudoso,¿piloto implementado o propuesta de diseño? verificar
CO,DNP - Diálogos Regionales Vinculantes (PND 2022-2026),https://dialogosregionales.dnp.gov.co/,A.5,"51 diálogos regionales, 250.000 participantes, 89.788 propuestas ciudadanas; una 'Unidad de Científicos de Datos' del DNP las sistematizó (análisis por frecuencia/recurrencia).",institucional,dudoso,confirmar si la sistematización usó NLP/IA o codificación manual
CL,Senador Virtual / CrowdLaw (GobLab UAI + IMFD),https://goblab.uai.cl/en/espanol-sistematizando-la-participacion-ciudadana/,A.4,"Investigación (GobLab UAI + IMFD, 2018-2023) sobre NLP aplicado a los aportes ciudadanos legislativos de la plataforma Senador Virtual del Senado (16 años activa); no verificado en producción.",academico,dudoso,investigación; confirmar aplicación en producción
CL,Cabildos 2016,https://aclanthology.org/W17-5101/;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0267443,A.4,"Evidencia académica del NLP sobre los cabildos 2016: argument mining sobre 240.468 argumentos (ACL 2017, UChile/DCC) y Structural Topic Modeling (PLOS One 2022) sobre los aportes constituyentes.",academico,reverif_baseline,fortalece el caso baseline con documentación de la metodología NLP
